#age = 20-70
#compuse = when did you start using a computer? 1970-2005
#netuse = when did you start using the internet? 1970-2005
#computers = how many computers do you own? 0-5
#website = do you know how to build a website?
uid,age,compuse,netuse,computers,website,mouse,browser
105,30,1970,1982,5,sorta,touchpad,Chrome 7.0.517
106,50,1984,1982,1,no,regular,Firefox 3.6.12
107,30,1970,1982,3,amateur,touchpad,Firefox 3.6.6
108,30,2000,1970,2,no,regular,Firefox 3.6.12
109,20,2005,1970,1,sorta,trackball,Firefox 3.6.10
110,20,2000,1993,1,amateur,regular,Firefox 3.6.3
111,20,1995,1982,1,sorta,touchpad,Chrome 7.0.517
112,20,2000,1982,1,no,touchpad,Chrome 7.0.517
113,30,1984,1993,3,sorta,touchpad,Firefox 3.5.15
114,20,2000,1982,5,no,touchpad,Firefox 3.5.15
115,20,1995,1970,1,sorta,regular,Chrome 7.0.517
116,20,2000,1982,0,no,regular,Firefox 3.5.15
117,20,1995,1993,1,sorta,touchpad,Firefox 3.6.10
118,20,2000,1982,1,sorta,regular,Opera 10.63
119,20,1995,2000,1,amateur,trackball,IE 8.0
120,20,1995,1993,1,amateur,touchpad,Firefox 3.6.12
121,30,2005,1993,1,sorta,regular,Chrome 7.0.517
122,20,1995,1982,1,sorta,touchpad,Firefox 4.0.NaN
123,20,2000,1982,1,sorta,touchpad,Firefox 3.6.8
124,20,2000,1982,1,no,regular,Chrome 7.0.517
125,30,1995,1970,2,sorta,regular,Firefox 3.6.12
126,30,2000,1993,2,no,trackball,Firefox 3.6.8
127,30,1970,1993,2,sorta,regular,Chrome 7.0.517
128,20,2000,1982,1,sorta,other,IE 8.0
129,20,1970,1993,1,no,touchpad,Chrome 7.0.517
130,20,2000,1982,2,no,touchpad,Chrome 7.0.517
131,20,2005,1993,1,no,regular,Firefox 3.0.19
132,20,1995,1982,2,sorta,regular,Firefox 3.6.12
133,20,2000,1970,1,amateur,trackball,Firefox 3.6.12
134,30,1995,1982,2,pro,regular,Firefox 3.5.4
