uid,age,savvy,qpm,error,difficulty
60,0.66666666666667,0.875,26.428654225107,0.052631578947368,12
61,1,0.125,48.238561613799,0,7
63,1,0.5,35.868424122244,0,9
64,1,0.25,46.996445140688,0.076923076923077,4
65,1,1,32.399595005062,0,1
67,1,0.54,17.843162245325,0,2
68,1,0.415,46.061891096529,0.023809523809524,3
69,1,0.665,18.486403690238,0,2
70,0.66666666666667,0.375,86.445163187298,0,1
71,1,0.5,21.686209059308,0,1
72,1,0.375,35.823685166918,0,2
73,1,0.54,44.945462518042,0,18
74,1,0.415,70.171790940042,0,4
75,1,0.54,29.946097025354,0.04,1
77,0.66666666666667,0.665,43.127545723185,0,0
78,0.66666666666667,0.5,56.134723336006,0.057142857142857,14
79,0.66666666666667,0.415,32.315781786314,0.033898305084746,36
80,1,0.375,46.428847790761,0,5
81,0.66666666666667,0.25,12.360575649666,0,2
82,0.66666666666667,1,51.43591941706,0.016666666666667,19
83,0.66666666666667,0.25,28.501757608386,0.1,5
84,0.33333333333333,0.25,17.324272783433,0.023255813953488,9
85,0.66666666666667,0.375,19.723865877712,0,0
86,1,0.5,30.12525765023,0.052631578947368,7
87,1,0.375,23.646608975649,0,8
88,1,0.665,24.593450657162,0,0
89,1,0.25,24.783147459727,0,0
91,0.66666666666667,0.375,24.222850222043,0,0
92,1,0.375,41.405669391655,0.038461538461538,9
93,1,0.665,73.544159925119,0,5
94,1,0.415,41.259670235211,0,5
97,1,0.375,33.232229988131,0.023809523809524,39
98,0.66666666666667,0.25,38.06810824809,0,1
99,1,0.375,37.078651685393,0.03030303030303,2
100,1,0.25,96.654674327445,0,6
101,0.66666666666667,0.25,41.698841698842,0,4
103,1,0.25,24.449646048729,0,3
104,1,0.54,24.554223911137,0,0
105,0.66666666666667,0.54,59.612518628912,0,5
106,0.33333333333333,0.375,25.488530161427,0,3
107,0.66666666666667,0.375,54.667628411981,0,1
108,0.66666666666667,0.5,19.80198019802,0,0
110,1,0.25,35.815711882496,0,2
111,1,0.54,74.037077298234,0,0
112,1,0.375,20.262180333405,0,0
113,0.66666666666667,0.415,64.781966815768,0,8
114,1,0.375,20.26142175879,0.024390243902439,3
115,1,0.665,77.651626566269,0,31
116,1,0.375,2.1014289717008,0,0
117,1,0.415,52.289334316552,0.019230769230769,9
118,1,0.54,27.126736111111,0,13
119,1,0.125,21.29471890971,0,1
120,1,0.25,105.52072182291,0,3
121,0.66666666666667,0.415,46.776331176425,0,1
123,1,0.54,87.275749809517,0,2
124,1,0.375,32.27357000618,0,20
125,0.66666666666667,0.665,69.157836029002,0,5
126,0.66666666666667,0.25,35.417667650491,0,10
127,0.66666666666667,0.415,47.9802891785,0,14
128,1,0.54,56.519350027475,0.027777777777778,3
129,1,0.25,59.590092394739,0,2
130,1,0.375,68.882899071578,0,0
131,1,0.25,27.861032546752,0,0
132,1,0.54,118.43403882005,0,3
133,1,0.5,25.921743826403,0,2
134,0.66666666666667,0.875,61.433447098976,0,9
135,1,0.375,35.849706997587,0.038461538461538,4
136,1,0.415,18.55621408248,0,31
137,1,0.665,20.535857532488,0.03125,10
138,0.66666666666667,0.415,42.857142857143,0,0
139,0.66666666666667,0.54,24.831568816169,0,4
140,1,0.5,103.79061371841,0.021739130434783,5
141,0.66666666666667,0.54,26.447252424331,0,0
142,0.66666666666667,0.25,17.586604869291,0,1
143,1,0.375,38.275070170962,0,16
144,1,0.375,1.709158239567,0,0
145,1,0.25,21.422574761891,0,1
146,1,0.5,34.443598607281,0.021739130434783,12
148,0.66666666666667,0.875,67.176712073148,0,6
149,1,0.375,17.263876342467,0,1
150,1,0.375,17.189584748746,0.028571428571429,1
151,1,0.415,28.397258717958,0,7
153,1,0.375,17.314048864093,0,1
154,1,0.415,24.325351577347,0.0625,5
155,1,0.125,42.342978122795,0,0
157,1,0.375,13.575332489589,0,3
159,1,0.25,86.839248708924,0,6
160,0.66666666666667,0.5,80.820886652668,0,0
161,0.66666666666667,0.415,41.467010689274,0,1
163,0.66666666666667,0.665,25.214321734745,0,2
165,1,0.875,25.594119915014,0,7
166,0.66666666666667,0.875,15.046393045223,0,0
167,1,0.665,52.154865179674,0,2
168,1,0.25,34.043144474937,0,36
169,1,1,38.610038610039,0.029411764705882,13
170,1,0.25,34.163819681693,0,1
171,1,0.415,23.424582031968,0.029411764705882,5
172,0.66666666666667,0.415,25.47811526043,0,1
173,1,0.54,61.233010159113,0,9
174,0.66666666666667,0.415,41.664441002083,0,2
175,1,0.25,31.981724728726,0,4
176,1,0.25,96.030729833547,0,1
177,0.66666666666667,0,31.9879156763,0,6
178,0.66666666666667,0.375,58.561724057156,0,7
179,1,1,63.243044490746,0,3
180,0.66666666666667,0.125,52.143684820394,0,0
182,1,0.375,52.877697841727,0.061224489795918,20
183,1,0.25,46.325786090683,0,10
184,1,0.54,35.025435137421,0,10
185,0.33333333333333,0.25,56.154628687691,0,10
186,1,0.25,59.885931558935,0,3
187,0.66666666666667,0.415,76.039056424436,0,1
188,0.66666666666667,0.5,49.637495863542,0,7
189,0.66666666666667,0.25,55.192878338279,0,1
190,0.66666666666667,0.25,39.827736942655,0,1
191,1,0.5,72.306154840985,0,11
192,1,0.375,37.377727116083,0,15
193,1,0.665,71.748878923767,0,3
194,0.66666666666667,0.415,43.573672660678,0.021739130434783,19
195,1,0.25,75,0,0
196,0.66666666666667,0.415,41.617403641523,0,14
197,0.66666666666667,0.25,45.256899458692,0,5
198,0.66666666666667,0.54,28.44228861206,0,8
199,0.66666666666667,0.5,41.715259711133,0,1
200,0.66666666666667,1,94.632833882266,0,2
201,0.33333333333333,0.25,24.222850222043,0,0
202,1,0.29,86.710214463264,0.02,2
203,1,0.415,67.609866032302,0,3
204,0.66666666666667,0.25,38.686382393398,0,19
205,1,0.25,76.225748799552,0,20
206,1,0.665,99.267312692035,0.020408163265306,4
207,0.66666666666667,0.375,19.377758639251,0,0
208,1,0.375,25.998786723286,0,1
210,1,0.25,16.373311502251,0,0
211,0.66666666666667,0.25,102.7397260274,0,0
212,1,0.25,66.321374431531,0.028571428571429,3
213,1,0.875,35.716701616722,0.022727272727273,3
214,1,0.54,25.532141242387,0,6
215,1,0.25,31.652084405558,0.024390243902439,1
216,1,0.54,30.080798423673,0,3
218,1,0.375,19.52039474576,0,3
219,0.66666666666667,0.375,64.034151547492,0,0
220,1,0.415,25.689979504169,0,1
221,1,0.375,23.813600211676,0,2
222,0.66666666666667,0.5,35.514136389396,0,2
224,1,0.875,17.512769727927,0,3
225,0.66666666666667,0.415,41.829071204487,0.022727272727273,7
227,1,0.25,30.982891464757,0,3
228,0.66666666666667,0,70.036814222861,0,11
229,0.66666666666667,0.25,20.620369408323,0,0
230,0.66666666666667,0.25,39.269952876057,0,3
231,1,0.54,39.301310043668,0,0
232,1,0.375,31.899921813917,0.058823529411765,7
233,1,0.54,45.881126173097,0.018181818181818,14
234,1,0.25,21.677012513548,0,1
235,1,0.375,53.225895876841,0.020833333333333,6
236,0.66666666666667,1,16.485328058028,0,3
237,1,0.5,35.554385040822,0,1
238,1,0.375,21.531163295493,0.024390243902439,1
239,1,0.375,66.371681415929,0,0
240,1,0.375,9.5619053690099,0,5
241,0.33333333333333,0.25,31.347962382445,0,0
243,0.66666666666667,0.54,63.111592770854,0.03030303030303,1
244,0.66666666666667,0.375,33.652436614871,0.022727272727273,9
245,1,0.25,33.048241252161,0,6
247,0.66666666666667,0.415,22.106986899563,0,8
248,1,0.415,120.24048096192,0,0
249,0.66666666666667,0.5,33.025099075297,0.02,2
250,1,0.54,46.625944265732,0,7
251,1,0.665,32.342944852538,0,5
252,1,0.415,58.541344824783,0,5
253,1,0.54,78.921984157142,0,7
254,1,0.375,17.482517482517,0,0
255,1,0.25,79.932810101654,0,5
256,1,0.665,43.613496517682,0,3
258,1,0.415,39.53584471571,0,1
260,1,0.375,70.259080358823,0,4
261,1,0.415,27.675276752768,0,0
262,0.66666666666667,0.375,28.720043399177,0,4
263,0.66666666666667,0.375,35.945102025997,0,7
264,0.33333333333333,0.25,43.80878752738,0,11
265,1,0.29,55.292044992546,0,1
266,1,0.25,36.51457462081,0.025641025641026,2
267,1,0.54,50.483331151955,0,3
268,1,0.25,78.609687487958,0.029411764705882,5
269,1,0.665,52.816901408451,0,0
270,1,0.415,46.21409921671,0.016949152542373,12
271,0.33333333333333,0.375,28.152192458625,0,0
272,1,0.415,15.816528272044,0,1
274,0.33333333333333,0.54,58.896669066161,0.033333333333333,6
275,0.66666666666667,0.125,26.673842086175,0,1
276,0.33333333333333,0.25,33.215794350908,0,4
277,1,0.25,91.215383351138,0,8
278,0.66666666666667,0.25,27.584093172937,0,3
