uid,age,savvy,qpm,error,difficulty
60,0.66666666666667,0.875,240.33188689142,0,0
61,1,0.125,227.10216334388,0.017241379310345,16
62,1,0.5,259.51141369644,0.027777777777778,5
63,1,0.5,248.34008795378,0.046875,19
64,1,0.25,428.00651314259,0.48913043478261,67
65,1,1,95.042534467586,0.0092592592592593,1
66,0.66666666666667,0.25,333.25025812654,0.048076923076923,7
67,1,0.54,155.70453211406,0.75,66
68,1,0.415,208.31324139261,0.10185185185185,14
69,1,0.665,189.66667837449,0.0083333333333333,1
70,0.66666666666667,0.375,346.29763232111,0.022727272727273,4
71,1,0.5,82.018395072146,0.25925925925926,34
72,1,0.375,157.32865016227,0.046296296296296,12
73,1,0.54,259.5562185344,0.086206896551724,17
74,1,0.415,315.98904571308,0.04,7
75,1,0.54,201.73283331178,0.076923076923077,12
76,1,0.415,3092.6813150504,0.086538461538462,10
77,0.66666666666667,0.665,168.11067285963,0.044642857142857,9
78,0.66666666666667,0.5,271.90712637247,0,1
79,0.66666666666667,0.415,272.26128119661,0.055555555555556,14
80,1,0.375,378.69307361663,0.017241379310345,8
81,0.66666666666667,0.25,196.51449597671,0,4
82,0.66666666666667,1,330.67778346964,0.038461538461538,9
83,0.66666666666667,0.25,170.64410858508,0.25961538461538,29
84,0.33333333333333,0.25,135.80513041604,0.0089285714285714,3
85,0.66666666666667,0.375,174.41156284065,0,0
86,1,0.5,359.12980086713,0.17307692307692,18
87,1,0.375,265.95030221625,0.011363636363636,2
88,1,0.665,136.44678081176,0.10869565217391,12
89,1,0.25,131.25341805776,0,14
90,1,0.25,187.40962113178,0.046296296296296,10
91,0.66666666666667,0.375,140.8391667016,0.66071428571429,83
92,1,0.375,169.52345074402,0.03,28
93,1,0.665,161.10554203065,0.01,26
94,1,0.415,317.47151575011,0,1
95,1,0.375,1444.2830462752,0.0086206896551724,4
97,1,0.375,251.65742118793,0.0080645161290323,9
98,0.66666666666667,0.25,314.3075411983,0.1328125,17
99,1,0.375,179.78026856065,0.092592592592593,20
100,1,0.25,2229.8692360633,0,0
101,0.66666666666667,0.25,262.82488075538,0.075,14
102,0.66666666666667,0.665,197.9552767708,0.0092592592592593,3
103,1,0.25,252.74339524733,0.18478260869565,17
104,1,0.54,142.98362473418,0.10416666666667,27
105,0.66666666666667,0.54,219.34902085034,0.03,29
106,0.33333333333333,0.375,142.08527838643,0.25,36
107,0.66666666666667,0.375,274.18463239359,0.024193548387097,9
108,0.66666666666667,0.5,100.43607207622,0.34782608695652,45
109,1,0.665,48.627662865633,1,472
110,1,0.25,276.05597801776,0.020833333333333,3
111,1,0.54,399.1683991684,0.035714285714286,6
112,1,0.375,121.48253688532,0.046296296296296,11
113,0.66666666666667,0.415,261.09592944193,0.035714285714286,5
114,1,0.375,236.59447348768,0.011363636363636,1
115,1,0.665,382.6997657342,0.17592592592593,23
116,1,0.375,136.31111314214,0.13793103448276,51
117,1,0.415,233.40357051891,0.035714285714286,6
118,1,0.54,197.58326396575,0.033333333333333,7
119,1,0.125,168.48628628144,0.0086206896551724,5
120,1,0.25,397.5795504222,0.010416666666667,2
121,0.66666666666667,0.415,278.74164778756,0.027777777777778,6
122,1,0.54,215.84650914905,0.018518518518519,3
123,1,0.54,294.19223941162,0.0086206896551724,2
124,1,0.375,259.6700027049,0,6
125,0.66666666666667,0.665,408.71676811,0.013888888888889,2
126,0.66666666666667,0.25,254.33638666927,0.03448275862069,6
127,0.66666666666667,0.415,390.32006245121,0.01,2
128,1,0.54,254.43361036581,0,3
129,1,0.25,319.71122856775,0.11290322580645,17
130,1,0.375,230.26841804683,0.11607142857143,15
131,1,0.25,187.79179454187,0.075,11
132,1,0.54,324.35215376695,0.071428571428571,12
133,1,0.5,138.09858704686,0,11
134,0.66666666666667,0.875,336.8122207346,0,4
135,1,0.375,270.73969953623,0.035714285714286,5
136,1,0.415,236.00624979513,0,2
137,1,0.665,113.0152536957,0.017857142857143,13
138,0.66666666666667,0.415,199.10586717058,0.020833333333333,3
139,0.66666666666667,0.54,272.10027398986,0.010416666666667,1
140,1,0.5,310.75181354891,0.019230769230769,7
141,0.66666666666667,0.54,155.23069005327,0.048387096774194,7
142,0.66666666666667,0.25,207.60324712771,0.057692307692308,7
143,1,0.375,178.82322779131,0.096774193548387,26
144,1,0.375,140.13739808681,0.046296296296296,5
145,1,0.25,168.39388685028,0.017241379310345,3
146,1,0.5,183.24370920734,0.064516129032258,8
147,0.66666666666667,0.5,158.92480502281,0.046296296296296,10
148,0.66666666666667,0.875,298.22308743735,0,2
149,1,0.375,199.97037475929,0.033333333333333,7
150,1,0.375,145.39121216137,0.015625,2
151,1,0.415,103.40989335855,0.020833333333333,4
152,1,0.5,345.37895746722,0.018518518518519,15
153,1,0.375,125.33649990364,0,4
154,1,0.415,110.2078971393,0.21428571428571,29
155,1,0.125,3498.2904444844,0.083333333333333,9
157,1,0.375,111.7107931688,0,7
158,1,0.375,159.33720150209,0.015625,12
159,1,0.25,256.88291609681,0.025,5
160,0.66666666666667,0.5,264.29921281253,0,3
161,0.66666666666667,0.415,249.68609865471,0.017241379310345,10
162,0.66666666666667,0.415,229.62490483735,0.016129032258065,3
163,0.66666666666667,0.665,225.47914317926,0.0083333333333333,2
164,1,0.25,167.66831767414,0.028846153846154,6
165,1,0.875,173.19885221396,0.071428571428571,10
166,0.66666666666667,0.875,125.0906128122,0.0086206896551724,4
167,1,0.665,3559.4225825588,0,2
168,1,0.25,190.9254581234,0.10526315789474,32
169,1,1,256.55518148084,0,0
170,1,0.25,359.87404408457,0.31666666666667,41
171,1,0.415,205.44631226351,0.14130434782609,16
172,0.66666666666667,0.415,218.7120291616,0.025,3
173,1,0.54,389.07447435646,0,2
174,0.66666666666667,0.415,199.36937822122,0.048387096774194,13
175,1,0.25,328.55708679383,0.02,6
176,1,0.25,417.50783901035,0.055555555555556,19
177,0.66666666666667,0,356.4871165391,0.26041666666667,25
178,0.66666666666667,0.375,236.543313709,0.02,3
179,1,1,308.63078064463,0,0
180,0.66666666666667,0.125,130.48287412277,0.21551724137931,89
181,0.33333333333333,0.125,410.84675118466,0.043478260869565,5
182,1,0.375,263.79352457459,0.027777777777778,4
183,1,0.25,286.58142196129,0.020833333333333,6
184,1,0.54,288.73627750764,0.010416666666667,2
185,0.33333333333333,0.25,182.6020796348,0.017241379310345,3
186,1,0.25,304.6032185105,0.0096153846153846,3
187,0.66666666666667,0.415,352.15477419705,0.0092592592592593,2
188,0.66666666666667,0.5,268.11033771591,0.096153846153846,13
189,0.66666666666667,0.25,327.38295722465,0.018518518518519,7
190,0.66666666666667,0.25,254.43494239876,0.0083333333333333,2
191,1,0.5,257.07399803624,0.044642857142857,32
192,1,0.375,296.96109809615,0,1
193,1,0.665,286.05482717521,0.020833333333333,6
194,0.66666666666667,0.415,331.29469506701,0.03125,5
195,1,0.25,335.19553072626,0,1
196,0.66666666666667,0.415,216.77419354839,0,4
197,0.66666666666667,0.25,203.27498588368,0.038461538461538,4
198,0.66666666666667,0.54,249.69654933241,0.035714285714286,10
199,0.66666666666667,0.5,203.34302629652,0.046296296296296,14
200,0.66666666666667,1,321.23735871505,0.041666666666667,8
201,0.33333333333333,0.25,164.44864025337,0.14166666666667,19
202,1,0.29,435.02246039877,0.16304347826087,15
203,1,0.415,325.37391760693,0,1
204,0.66666666666667,0.25,1100.9174311927,0.90384615384615,96
205,1,0.25,436.2473037493,0,1
206,1,0.665,348.62607432514,0.16964285714286,24
207,0.66666666666667,0.375,188.52251796742,0.18103448275862,37
208,1,0.375,213.80846325167,0.03125,1
209,1,0.375,293.6262579754,0.0080645161290323,1
210,1,0.25,115.35654310145,1,460
211,0.66666666666667,0.25,372.03998360743,0.0086206896551724,4
212,1,0.25,301.92899077439,0.20833333333333,24
213,1,0.875,310.50705697857,0,4
214,1,0.54,156.82324033298,0.0078125,20
215,1,0.25,233.33474235956,0.15217391304348,16
216,1,0.54,193.30204438788,0.10185185185185,16
217,1,0.125,79.344024097074,1,466
218,1,0.375,159.80699638118,0.010869565217391,4
219,0.66666666666667,0.375,159.31446502927,0.034090909090909,11
220,1,0.415,206.81335095077,0,0
221,1,0.375,167.30145580554,0.021739130434783,5
222,0.66666666666667,0.5,263.90640119638,0.03,3
223,0.33333333333333,0.25,224.70657734877,0.0089285714285714,9
224,1,0.875,143.37937214628,0.017857142857143,4
225,0.66666666666667,0.415,314.27873031393,0,2
226,1,0.5,235.7933106463,0.032608695652174,11
227,1,0.25,188.57053061652,0.03,6
228,0.66666666666667,0,375.55886736215,0.0089285714285714,3
229,0.66666666666667,0.25,141.61977619018,0.5625,68
230,0.66666666666667,0.25,230.44213799095,0.017857142857143,7
231,1,0.54,242.66282001159,0.02,4
232,1,0.375,200.88705875562,0,6
233,1,0.54,211.42805066983,0,2
234,1,0.25,99.44842954355,0.1,11
235,1,0.375,499.25705794948,0.083333333333333,7
236,0.66666666666667,1,79.394914515135,0.22727272727273,21
237,1,0.5,205.54680313395,0.018518518518519,11
238,1,0.375,135.6783919598,0.0083333333333333,3
239,1,0.375,177.68803634528,0,39
240,1,0.375,158.27396702626,0.083333333333333,10
241,0.33333333333333,0.25,155.69183396331,0,0
242,1,0.25,184.68857122869,0.11363636363636,12
243,0.66666666666667,0.54,323.01480484522,0.091666666666667,12
244,0.66666666666667,0.375,255.26658889728,0,2
245,1,0.25,199.45932004241,0,3
