relay,lat,rate,obs,up,down
tor,150.0,50,12,5.636,123.574
tor,150.0,50,13,6.288,122.06
tor,150.0,50,14,6.874,122.06
tor,150.0,50,15,6.222,122.408
tor,150.0,50,16,6.222,123.634
tor,150.0,50,17,5.636,122.12
tor,150.0,50,18,6.288,123.634
tor,150.0,50,19,6.874,122.678
tor,150.0,50,20,6.486,121.472
tor,150.0,150,1,7.072,137.956
tor,150.0,150,2,12.246,227.454
tor,150.0,150,3,13.03,232.044
tor,150.0,150,4,12.246,229.016
tor,150.0,150,5,12.18,230.53
tor,150.0,150,6,12.18,229.764
tor,150.0,150,7,12.246,230.894
tor,150.0,150,8,12.18,228.31
tor,150.0,150,9,12.18,231.338
tor,150.0,150,10,12.114,228.31
tor,150.0,150,11,12.18,231.278
tor,150.0,150,12,12.246,227.502
tor,150.0,150,13,12.18,231.278
tor,150.0,150,14,11.594,230.53
tor,150.0,150,15,12.378,229.734
tor,150.0,150,16,12.312,229.824
tor,150.0,150,17,12.246,230.274
tor,150.0,150,18,12.18,229.824
tor,150.0,150,19,12.18,229.314
tor,150.0,150,20,12.114,229.764
tor,150.0,300,1,12.378,240.914
tor,150.0,300,2,21.282,389.688
tor,150.0,300,3,23.916,353.136
tor,150.0,300,4,18.402,354.276
tor,150.0,300,5,22.706,413.322
tor,150.0,300,6,23.312,426.944
tor,150.0,300,7,21.216,391.104
tor,150.0,300,8,21.15,390.07
tor,150.0,300,9,20.63,394.476
tor,150.0,300,10,22.144,390.202
tor,150.0,300,11,21.072,390.656
tor,150.0,300,12,21.216,390.044
tor,150.0,300,13,20.762,391.902
tor,150.0,300,14,22.342,389.142
tor,150.0,300,15,21.006,391.558
tor,150.0,300,16,21.282,389.366
tor,150.0,300,17,20.762,392.272
tor,150.0,300,18,22.276,389.366
tor,150.0,300,19,21.072,391.308
tor,150.0,300,20,21.282,390.294
tor,200.0,50,1,8.054,129.494
tor,200.0,50,2,6.354,122.748
tor,200.0,50,3,6.354,122.468
tor,200.0,50,4,6.42,123.646
tor,200.0,50,5,5.57,122.748
tor,200.0,50,6,6.808,121.514
tor,200.0,50,7,6.222,122.748
tor,200.0,50,8,6.222,123.028
tor,200.0,50,9,6.288,122.748
tor,200.0,50,10,6.222,121.514
tor,200.0,50,11,6.222,122.748
tor,200.0,50,12,6.222,122.748
tor,200.0,50,13,6.222,123.028
tor,200.0,50,14,6.222,122.748
tor,200.0,50,15,6.288,123.028
tor,200.0,50,16,5.57,122.808
tor,200.0,50,17,6.808,121.574
tor,200.0,50,18,6.222,122.808
tor,200.0,50,19,6.222,123.028
tor,200.0,50,20,6.288,122.748
tor,200.0,150,1,5.826,98.962
tor,200.0,150,2,12.522,229.794
tor,200.0,150,3,11.318,229.794
tor,200.0,150,4,12.832,228.548
tor,200.0,150,5,12.588,230.656
tor,200.0,150,6,11.318,229.202
tor,200.0,150,7,12.312,232.006
tor,200.0,150,8,13.55,227.688
tor,200.0,150,9,11.008,231.422
tor,200.0,150,10,12.18,229.362
tor,200.0,150,11,12.898,229.908
tor,200.0,150,12,11.66,229.842
tor,200.0,150,13,12.312,229.208
tor,200.0,150,14,12.898,230.128
tor,200.0,150,15,12.522,231.422
tor,200.0,150,16,11.318,228.388
tor,200.0,150,17,12.246,230.122
tor,200.0,150,18,13.484,229.902
tor,200.0,150,19,11.074,230.656
tor,200.0,150,20,12.246,227.848
tor,200.0,300,1,10.228,193.793
tor,200.0,300,2,21.006,389.492
tor,200.0,300,3,22.552,390.94
tor,200.0,300,4,21.006,391.552
tor,200.0,300,5,20.42,389.404
tor,200.0,300,6,22.586,391.413
tor,200.0,300,7,21.038,389.808
tor,200.0,300,8,20.42,390.24
tor,200.0,300,9,22.586,391.164
tor,200.0,300,10,20.972,389.808
tor,200.0,300,11,20.42,390.24
tor,200.0,300,12,22.586,391.164
tor,200.0,300,13,21.17,389.808
tor,200.0,300,14,20.42,390.24
tor,200.0,300,15,22.652,391.164
tor,200.0,300,16,21.038,389.808
tor,200.0,300,17,20.486,390.24
tor,200.0,300,18,22.586,391.468
tor,200.0,300,19,21.104,389.808
tor,200.0,300,20,20.42,390.24
tor,250.0,50,1,7.922,112.384
tor,250.0,50,2,5.702,121.818
tor,250.0,50,3,6.354,122.428
tor,250.0,50,4,6.354,123.088
tor,250.0,50,5,6.288,123.154
tor,250.0,50,6,6.354,123.024
tor,250.0,50,7,6.874,121.298
tor,250.0,50,8,5.636,122.812
tor,250.0,50,9,6.288,123.154
tor,250.0,50,10,6.354,122.812
tor,250.0,50,11,6.288,123.154
tor,250.0,50,12,6.288,122.682
tor,250.0,50,13,6.874,122.812
tor,250.0,50,14,5.768,123.154
tor,250.0,50,15,6.288,122.746
tor,250.0,50,16,6.288,121.76
tor,250.0,50,17,6.288,122.872
tor,250.0,50,18,6.288,122.616
tor,250.0,50,19,6.874,122.746
tor,250.0,50,20,5.636,122.812
tor,250.0,150,1,4.448,50.494
tor,250.0,150,2,11.264,229.226
tor,250.0,150,3,12.002,229.746
tor,250.0,150,4,12.378,229.17
tor,250.0,150,5,11.516,229.86
tor,250.0,150,6,12.312,229.746
tor,250.0,150,7,12.312,229.98
tor,250.0,150,8,13.174,230.11
tor,250.0,150,9,12.312,230.56
tor,250.0,150,10,12.378,229.86
tor,250.0,150,11,11.45,230.56
tor,250.0,150,12,12.312,230.56
tor,250.0,150,13,12.378,228.356
tor,250.0,150,14,12.964,230.56
tor,250.0,150,15,12.964,229.86
tor,250.0,150,16,11.936,229.112
tor,250.0,150,17,12.444,229.866
tor,250.0,150,18,12.312,229.92
tor,250.0,150,19,11.45,230.56
tor,250.0,150,20,12.378,230.56
tor,250.0,300,1,7.328,69.748
tor,250.0,300,2,14.56,369.784
tor,250.0,300,3,21.534,390.858
tor,250.0,300,4,22.454,390.038
tor,250.0,300,5,21.248,390.94
tor,250.0,300,6,20.552,390.262
tor,250.0,300,7,21.934,390.65
tor,250.0,300,8,21.414,390.038
tor,250.0,300,9,20.486,390.038
tor,250.0,300,10,21.282,390.858
tor,250.0,300,11,22.52,390.038
tor,250.0,300,12,21.282,392.454
tor,250.0,300,13,21.314,388.458
tor,250.0,300,14,20.486,392.388
tor,250.0,300,15,21.934,390.65
tor,250.0,300,16,21.546,390.65
tor,250.0,300,17,20.486,389.36
tor,250.0,300,18,21.414,393.304
tor,250.0,300,19,22.0,388.442
tor,250.0,300,20,22.0,391.552
tor,300.0,50,1,10.612,144.456
tor,300.0,50,2,4.002,122.852
tor,300.0,50,3,6.354,121.372
tor,300.0,50,4,6.874,123.162
tor,300.0,50,5,5.636,122.544
tor,300.0,50,6,6.354,123.36
tor,300.0,50,7,6.222,122.544
tor,300.0,50,8,6.354,121.99
tor,300.0,50,9,6.874,122.886
tor,300.0,50,10,5.636,122.544
tor,300.0,50,11,6.354,123.426
tor,300.0,50,12,6.222,122.544
tor,300.0,50,13,6.354,121.714
tor,300.0,50,14,6.874,122.886
tor,300.0,50,15,5.636,122.544
tor,300.0,50,16,6.354,123.546
tor,300.0,50,17,6.288,122.946
tor,300.0,50,18,6.354,121.714
tor,300.0,50,19,6.874,123.228
tor,300.0,50,20,5.636,122.544
tor,300.0,150,1,5.884,51.938
tor,300.0,150,2,9.762,228.92
tor,300.0,150,3,11.14,230.338
tor,300.0,150,4,12.444,230.424
tor,300.0,150,5,13.306,230.338
tor,300.0,150,6,12.754,228.998
tor,300.0,150,7,12.444,230.446
tor,300.0,150,8,11.14,229.274
tor,300.0,150,9,13.24,231.966
tor,300.0,150,10,12.444,229.638
tor,300.0,150,11,12.688,229.62
tor,300.0,150,12,11.726,229.572
tor,300.0,150,13,11.792,230.472
tor,300.0,150,14,13.174,229.62
tor,300.0,150,15,12.312,230.386
tor,300.0,150,16,12.688,228.932
tor,300.0,150,17,11.206,230.532
tor,300.0,150,18,12.378,229.632
tor,300.0,150,19,13.174,230.32
tor,300.0,150,20,12.622,228.806
tor,300.0,300,1,7.138,86.96
tor,300.0,300,2,15.134,390.26
tor,300.0,300,3,22.144,389.332
tor,300.0,300,4,20.564,390.846
tor,300.0,300,5,22.144,391.376
tor,300.0,300,6,20.498,390.458
tor,300.0,300,7,21.902,390.234
tor,300.0,300,8,20.63,390.596
tor,300.0,300,9,20.63,388.746
tor,300.0,300,10,22.21,391.212
tor,300.0,300,11,20.564,390.458
tor,300.0,300,12,22.21,390.458
tor,300.0,300,13,20.498,390.458
tor,300.0,300,14,21.902,390.458
tor,300.0,300,15,21.492,390.458
tor,300.0,300,16,21.216,389.698
tor,300.0,300,17,20.63,391.36
tor,300.0,300,18,21.624,389.86
tor,300.0,300,19,21.216,389.846
tor,300.0,300,20,21.25,389.556
tor,350.0,50,1,11.404,158.102
tor,350.0,50,2,3.928,96.876
tor,350.0,50,3,5.05,123.1
tor,350.0,50,4,6.808,122.406
tor,350.0,50,5,6.222,122.406
tor,350.0,50,6,5.636,122.406
tor,350.0,50,7,6.874,122.482
tor,350.0,50,8,6.222,122.406
tor,350.0,50,9,5.702,123.024
tor,350.0,50,10,6.874,122.482
tor,350.0,50,11,6.222,123.024
tor,350.0,50,12,6.288,123.024
tor,350.0,50,13,5.702,122.128
tor,350.0,50,14,6.94,122.824
tor,350.0,50,15,6.288,121.852
tor,350.0,50,16,5.768,122.682
tor,350.0,50,17,6.94,123.702
tor,350.0,50,18,6.288,122.748
tor,350.0,50,19,6.222,122.824
tor,350.0,50,20,5.636,121.576
tor,350.0,150,1,6.346,62.916
tor,350.0,150,2,6.222,178.316
tor,350.0,150,3,12.068,229.726
tor,350.0,150,4,12.832,229.89
tor,350.0,150,5,12.036,229.208
tor,350.0,150,6,12.93,230.034
tor,350.0,150,7,11.384,229.95
tor,350.0,150,8,12.964,230.838
tor,350.0,150,9,12.102,229.142
tor,350.0,150,10,12.864,229.89
tor,350.0,150,11,12.036,229.142
tor,350.0,150,12,12.312,229.89
tor,350.0,150,13,12.036,231.988
tor,350.0,150,14,12.864,226.928
tor,350.0,150,15,11.516,231.422
tor,350.0,150,16,12.988,230.04
tor,350.0,150,17,11.45,230.764
tor,350.0,150,18,12.964,229.086
tor,350.0,150,19,12.002,229.142
tor,350.0,150,20,12.964,228.442
tor,350.0,300,1,7.91,88.444
tor,350.0,300,2,8.846,280.068
tor,350.0,300,3,22.032,395.12
tor,350.0,300,4,21.736,390.196
tor,350.0,300,5,20.94,389.676
tor,350.0,300,6,21.658,389.742
tor,350.0,300,7,20.596,390.732
tor,350.0,300,8,21.868,390.354
tor,350.0,300,9,19.946,389.676
tor,350.0,300,10,22.11,391.322
tor,350.0,300,11,21.006,389.518
tor,350.0,300,12,21.006,391.344
tor,350.0,300,13,20.874,390.354
tor,350.0,300,14,22.11,390.354
tor,350.0,300,15,21.006,389.676
tor,350.0,300,16,21.46,390.578
tor,350.0,300,17,20.354,389.376
tor,350.0,300,18,21.182,391.784
tor,350.0,300,19,22.586,389.064
tor,350.0,300,20,20.94,392.092
tor,400.0,50,1,13.232,208.84
tor,400.0,50,2,2.022,44.69
tor,400.0,50,3,5.978,123.26
tor,400.0,50,4,5.558,122.618
tor,400.0,50,5,7.15,123.228
tor,400.0,50,6,5.426,123.236
tor,400.0,50,7,6.42,121.714
tor,400.0,50,8,7.15,123.236
tor,400.0,50,9,5.426,121.722
tor,400.0,50,10,7.216,123.228
tor,400.0,50,11,5.36,121.722
tor,400.0,50,12,6.288,123.228
tor,400.0,50,13,7.526,123.236
tor,400.0,50,14,5.116,121.714
tor,400.0,50,15,7.216,123.302
tor,400.0,50,16,5.426,121.842
tor,400.0,50,17,7.216,123.288
tor,400.0,50,18,5.426,121.722
tor,400.0,50,19,6.354,123.288
tor,400.0,50,20,7.526,123.236
tor,400.0,150,1,4.654,53.62
tor,400.0,150,2,3.086,149.878
tor,400.0,150,3,13.946,230.176
tor,400.0,150,4,11.726,229.966
tor,400.0,150,5,12.002,229.592
tor,400.0,150,6,12.622,229.966
tor,400.0,150,7,12.588,229.598
tor,400.0,150,8,12.622,231.844
tor,400.0,150,9,11.792,228.778
tor,400.0,150,10,11.936,229.966
tor,400.0,150,11,12.622,230.992
tor,400.0,150,12,12.002,229.2
tor,400.0,150,13,12.622,230.292
tor,400.0,150,14,12.588,229.966
tor,400.0,150,15,12.036,228.778
tor,400.0,150,16,12.588,229.386
tor,400.0,150,17,12.688,230.026
tor,400.0,150,18,12.002,230.292
tor,400.0,150,19,12.688,229.966
tor,400.0,150,20,11.074,230.292
tor,400.0,300,1,9.948,141.082
tor,400.0,300,2,2.558,115.782
tor,400.0,300,3,16.014,246.848
tor,400.0,300,4,12.102,198.334
tor,400.0,300,5,14.96,298.324
tor,400.0,300,6,13.716,257.38
tor,400.0,300,7,18.104,286.146
tor,400.0,300,8,13.36,298.258
tor,400.0,300,9,16.682,254.352
tor,400.0,300,10,16.516,355.79
tor,400.0,300,11,17.256,319.52
tor,400.0,300,12,24.338,439.06
tor,400.0,300,13,24.314,493.14
tor,400.0,300,14,27.65,482.434
tor,400.0,300,15,28.654,488.528
tor,400.0,300,16,21.094,390.268
tor,400.0,300,17,22.354,391.24
tor,400.0,300,18,20.32,389.33
tor,400.0,300,19,21.382,392.076
tor,400.0,300,20,20.906,389.862
tor,450.0,50,1,16.224,221.078
tor,450.0,50,2,1.18,55.222
tor,450.0,50,3,6.308,121.674
tor,450.0,50,4,6.354,123.438
tor,450.0,50,5,6.73,121.924
tor,450.0,50,6,5.702,124.056
tor,450.0,50,7,6.42,121.924
tor,450.0,50,8,5.768,124.116
tor,450.0,50,9,7.216,121.924
tor,450.0,50,10,6.354,121.924
tor,450.0,50,11,6.73,123.438
tor,450.0,50,12,5.768,121.924
tor,450.0,50,13,6.288,122.886
tor,450.0,50,14,6.42,123.222
tor,450.0,50,15,5.702,122.886
tor,450.0,50,16,7.282,122.11
tor,450.0,50,17,6.42,123.498
tor,450.0,50,18,6.664,122.176
tor,450.0,50,19,5.834,123.504
tor,450.0,50,20,6.354,122.05
tor,450.0,150,1,5.702,104.616
tor,450.0,150,2,1.964,44.624
tor,450.0,150,3,10.38,230.244
tor,450.0,150,4,12.378,230.206
tor,450.0,150,5,12.346,229.44
tor,450.0,150,6,11.66,228.752
tor,450.0,150,7,11.858,230.332
tor,450.0,150,8,13.108,230.226
tor,450.0,150,9,12.246,230.954
tor,450.0,150,10,12.588,227.944
tor,450.0,150,11,12.312,230.954
tor,450.0,150,12,12.28,230.954
tor,450.0,150,13,11.206,228.758
tor,450.0,150,14,12.246,229.862
tor,450.0,150,15,13.108,229.44
tor,450.0,150,16,11.726,230.314
tor,450.0,150,17,13.24,230.266
tor,450.0,150,18,12.214,229.5
tor,450.0,150,19,11.14,229.862
tor,450.0,150,20,12.246,229.44
tor,450.0,300,1,10.282,111.998
tor,450.0,300,2,7.566,287.31
tor,450.0,300,3,21.558,393.262
tor,450.0,300,4,22.278,389.398
tor,450.0,300,5,20.11,390.884
tor,450.0,300,6,22.21,390.366
tor,450.0,300,7,21.624,390.3
tor,450.0,300,8,20.828,392.492
tor,450.0,300,9,21.624,388.786
tor,450.0,300,10,20.696,391.88
tor,450.0,300,11,21.758,386.632
tor,450.0,300,12,21.624,394.356
tor,450.0,300,13,20.696,389.464
tor,450.0,300,14,21.69,390.3
tor,450.0,300,15,21.624,390.912
tor,450.0,300,16,20.696,389.944
tor,450.0,300,17,22.144,391.786
tor,450.0,300,18,20.112,390.314
tor,450.0,300,19,22.342,390.076
tor,450.0,300,20,21.558,390.662
tor,500.0,50,1,14.986,208.428
tor,500.0,50,2,1.436,10.454
tor,500.0,50,3,4.654,123.198
tor,500.0,50,4,6.486,123.154
tor,500.0,50,5,5.978,122.612
tor,500.0,50,6,6.42,122.06
tor,500.0,50,7,6.354,122.848
tor,500.0,50,8,6.42,121.314
tor,500.0,50,9,5.426,123.574
tor,500.0,50,10,6.288,121.914
tor,500.0,50,11,6.288,124.62
tor,500.0,50,12,6.354,120.546
tor,500.0,50,13,6.354,125.088
tor,500.0,50,14,6.354,122.06
tor,500.0,50,15,6.354,122.06
tor,500.0,50,16,6.354,123.574
tor,500.0,50,17,6.354,122.06
tor,500.0,50,18,6.42,123.634
tor,500.0,50,19,6.94,121.568
tor,500.0,50,20,6.288,122.672
tor,500.0,150,1,6.288,73.032
tor,500.0,150,2,1.37,64.372
tor,500.0,150,3,9.584,238.514
tor,500.0,150,4,13.558,228.98
tor,500.0,150,5,12.312,229.746
tor,500.0,150,6,12.312,231.26
tor,500.0,150,7,11.45,228.232
tor,500.0,150,8,12.832,232.008
tor,500.0,150,9,12.312,228.656
tor,500.0,150,10,12.246,231.32
tor,500.0,150,11,12.312,229.18
tor,500.0,150,12,12.246,229.746
tor,500.0,150,13,12.312,229.746
tor,500.0,150,14,12.832,229.746
tor,500.0,150,15,12.312,229.746
tor,500.0,150,16,11.626,229.746
tor,500.0,150,17,12.312,229.746
tor,500.0,150,18,12.378,229.746
tor,500.0,150,19,12.312,229.866
tor,500.0,150,20,11.904,230.554
tor,500.0,300,1,10.468,121.82
tor,500.0,300,2,1.304,108.798
tor,500.0,300,3,17.518,388.432
tor,500.0,300,4,21.15,386.952
tor,500.0,300,5,21.282,387.026
tor,500.0,300,6,20.874,387.94
tor,500.0,300,7,21.282,387.28
tor,500.0,300,8,21.216,387.752
tor,500.0,300,9,20.222,386.164
tor,500.0,300,10,21.282,389.118
tor,500.0,300,11,21.216,387.652
tor,500.0,300,12,21.148,386.238
tor,500.0,300,13,21.736,389.446
tor,500.0,300,14,21.282,388.282
tor,500.0,300,15,19.492,387.39
tor,500.0,300,16,21.282,387.104
tor,500.0,300,17,21.216,384.676
tor,500.0,300,18,21.802,391.358
tor,500.0,300,19,21.282,390.436
tor,500.0,300,20,21.282,386.768
tor,550.0,50,1,17.14,265.208
tor,550.0,50,2,3.276,0.302
tor,550.0,50,3,2.368,111.126
tor,550.0,50,4,6.94,122.196
tor,550.0,50,5,5.978,122.196
tor,550.0,50,6,5.492,124.262
tor,550.0,50,7,6.288,122.896
tor,550.0,50,8,7.658,120.682
tor,550.0,50,9,6.044,123.946
tor,550.0,50,10,5.426,122.196
tor,550.0,50,11,6.42,122.896
tor,550.0,50,12,7.526,122.196
tor,550.0,50,13,6.42,123.71
tor,550.0,50,14,5.978,122.196
tor,550.0,50,15,5.426,122.748
tor,550.0,50,16,6.42,122.896
tor,550.0,50,17,7.526,122.196
tor,550.0,50,18,6.044,122.256
tor,550.0,50,19,5.492,122.256
tor,550.0,50,20,6.288,122.956
tor,550.0,150,1,7.592,111.664
tor,550.0,150,2,1.774,0.574
tor,550.0,150,3,3.35,189.902
tor,550.0,150,4,14.354,245.568
tor,550.0,150,5,12.688,226.996
tor,550.0,150,6,11.626,231.434
tor,550.0,150,7,11.97,227.658
tor,550.0,150,8,12.832,232.248
tor,550.0,150,9,12.036,230.284
tor,550.0,150,10,12.302,228.02
tor,550.0,150,11,12.126,231.584
tor,550.0,150,12,12.832,229.22
tor,550.0,150,13,12.102,229.92
tor,550.0,150,14,12.832,230.024
tor,550.0,150,15,11.626,229.22
tor,550.0,150,16,12.036,229.92
tor,550.0,150,17,12.832,229.22
tor,550.0,150,18,12.036,229.92
tor,550.0,150,19,12.212,229.384
tor,550.0,150,20,12.036,229.98
tor,550.0,300,1,11.318,186.888
tor,550.0,300,2,3.276,27.042
tor,550.0,300,3,11.792,376.018
tor,550.0,300,4,19.89,396.748
tor,550.0,300,5,20.544,380.982
tor,550.0,300,6,22.066,377.948
tor,550.0,300,7,20.808,341.53
tor,550.0,300,8,18.388,409.86
tor,550.0,300,9,22.718,376.508
tor,550.0,300,10,19.562,369.268
tor,550.0,300,11,21.006,360.702
tor,550.0,300,12,17.586,365.382
tor,550.0,300,13,21.8,390.39
tor,550.0,300,14,22.52,358.744
tor,550.0,300,15,19.958,378.426
tor,550.0,300,16,19.03,331.566
tor,550.0,300,17,19.43,400.406
tor,550.0,300,18,21.544,386.366
tor,550.0,300,19,19.496,369.35
tor,550.0,300,20,20.874,365.17
tor,600.0,50,1,15.952,259.468
tor,600.0,50,2,4.398,1.456
tor,600.0,50,3,1.18,88.208
tor,600.0,50,4,5.702,122.002
tor,600.0,50,5,7.006,123.294
tor,600.0,50,6,6.044,121.78
tor,600.0,50,7,6.144,124.478
tor,600.0,50,8,6.63,120.818
tor,600.0,50,9,6.078,123.516
tor,600.0,50,10,6.94,122.332
tor,600.0,50,11,6.11,123.47
tor,600.0,50,12,6.012,120.798
tor,600.0,50,13,6.94,123.846
tor,600.0,50,14,6.044,122.332
tor,600.0,50,15,6.078,123.24
tor,600.0,50,16,6.94,122.332
tor,600.0,50,17,6.346,123.294
tor,600.0,50,18,6.94,121.51
tor,600.0,50,19,5.978,123.354
tor,600.0,50,20,6.144,123.024
tor,600.0,150,1,7.006,82.132
tor,600.0,150,2,1.766,68.914
tor,600.0,150,3,7.542,189.25
tor,600.0,150,4,14.068,272.546
tor,600.0,150,5,12.688,228.712
tor,600.0,150,6,11.416,229.42
tor,600.0,150,7,13.484,230.226
tor,600.0,150,8,11.042,229.586
tor,600.0,150,9,12.996,229.784
tor,600.0,150,10,12.688,230.4
tor,600.0,150,11,11.97,229.42
tor,600.0,150,12,12.344,229.526
tor,600.0,150,13,12.622,229.526
tor,600.0,150,14,11.416,229.42
tor,600.0,150,15,13.484,230.34
tor,600.0,150,16,11.108,230.226
tor,600.0,150,17,12.798,229.42
tor,600.0,150,18,12.036,228.772
tor,600.0,150,19,12.688,230.294
tor,600.0,150,20,12.212,229.586
tor,600.0,300,1,11.042,199.246
tor,600.0,300,2,3.804,0.652
tor,600.0,300,3,6.98,334.364
tor,600.0,300,4,19.43,371.052
tor,600.0,300,5,19.362,348.144
tor,600.0,300,6,18.502,354.35
tor,600.0,300,7,21.406,279.524
tor,600.0,300,8,17.394,413.738
tor,600.0,300,9,19.1,321.868
tor,600.0,300,10,15.932,312.662
tor,600.0,300,11,21.932,383.014
tor,600.0,300,12,19.496,287.494
tor,600.0,300,13,15.08,374.68
tor,600.0,300,14,23.378,357.428
tor,600.0,300,15,15.734,284.086
tor,600.0,300,16,19.758,386.378
tor,600.0,300,17,18.238,366.212
tor,600.0,300,18,18.56,311.518
tor,600.0,300,19,20.022,358.36
tor,600.0,300,20,21.394,353.478
st.nosteg.1,100.0,50,1,6.426,43.048
st.nosteg.1,100.0,50,2,7.56,122.082
st.nosteg.1,100.0,50,3,6.876,124.466
st.nosteg.1,100.0,50,4,6.126,126.624
st.nosteg.1,100.0,50,5,7.428,122.41
st.nosteg.1,100.0,50,6,6.712,126.4
st.nosteg.1,100.0,50,7,6.81,121.694
st.nosteg.1,100.0,50,8,6.876,124.478
st.nosteg.1,100.0,50,9,6.324,126.612
st.nosteg.1,100.0,50,10,6.942,124.674
st.nosteg.1,100.0,50,11,7.494,124.344
st.nosteg.1,100.0,50,12,6.876,124.564
st.nosteg.1,100.0,50,13,6.126,127.126
st.nosteg.1,100.0,50,14,7.692,122.036
st.nosteg.1,100.0,50,15,6.81,124.51
st.nosteg.1,100.0,50,16,6.81,124.874
st.nosteg.1,100.0,50,17,5.994,126.71
st.nosteg.1,100.0,50,18,7.56,122.036
st.nosteg.1,100.0,50,19,6.876,124.674
st.nosteg.1,100.0,50,20,6.876,127.186
st.nosteg.1,100.0,150,1,9.29,147.848
st.nosteg.1,100.0,150,2,12.408,244.012
st.nosteg.1,100.0,150,3,12.564,232.974
st.nosteg.1,100.0,150,4,13.512,230.138
st.nosteg.1,100.0,150,5,12.894,231.136
st.nosteg.1,100.0,150,6,12.894,237.548
st.nosteg.1,100.0,150,7,12.762,235.382
st.nosteg.1,100.0,150,8,12.894,237.676
st.nosteg.1,100.0,150,9,12.762,235.092
st.nosteg.1,100.0,150,10,12.828,237.478
st.nosteg.1,100.0,150,11,12.144,238.136
st.nosteg.1,100.0,150,12,12.828,234.526
st.nosteg.1,100.0,150,13,12.894,234.624
st.nosteg.1,100.0,150,14,12.828,234.648
st.nosteg.1,100.0,150,15,12.894,236.162
st.nosteg.1,100.0,150,16,12.828,235.414
st.nosteg.1,100.0,150,17,12.828,235.382
st.nosteg.1,100.0,150,18,12.696,234.648
st.nosteg.1,100.0,150,19,12.828,236.832
st.nosteg.1,100.0,150,20,12.564,236.254
st.nosteg.1,100.0,300,1,15.572,268.738
st.nosteg.1,100.0,300,2,22.416,410.014
st.nosteg.1,100.0,300,3,21.954,394.666
st.nosteg.1,100.0,300,4,21.756,383.024
st.nosteg.1,100.0,300,5,22.086,405.222
st.nosteg.1,100.0,300,6,21.756,383.584
st.nosteg.1,100.0,300,7,21.336,399.622
st.nosteg.1,100.0,300,8,22.704,395.53
st.nosteg.1,100.0,300,9,22.152,402.454
st.nosteg.1,100.0,300,10,22.02,386.698
st.nosteg.1,100.0,300,11,22.02,392.532
st.nosteg.1,100.0,300,12,22.168,392.626
st.nosteg.1,100.0,300,13,24.506,404.552
st.nosteg.1,100.0,300,14,22.77,400.966
st.nosteg.1,100.0,300,15,21.822,394.076
st.nosteg.1,100.0,300,16,21.954,390.21
st.nosteg.1,100.0,300,17,21.822,397.62
st.nosteg.1,100.0,300,18,24.568,398.629
st.nosteg.1,100.0,300,19,22.782,396.827
st.nosteg.1,100.0,300,20,21.336,395.922
st.nosteg.1,150.0,50,1,7.056,144.008
st.nosteg.1,150.0,50,2,5.994,126.132
st.nosteg.1,150.0,50,3,8.84,128.008
st.nosteg.1,150.0,50,4,8.008,128.736
st.nosteg.1,150.0,50,5,6.942,124.268
st.nosteg.1,150.0,50,6,7.362,126.232
st.nosteg.1,150.0,50,7,6.744,124.016
st.nosteg.1,150.0,50,8,6.414,124.68
st.nosteg.1,150.0,50,9,5.994,123.706
st.nosteg.1,150.0,50,10,7.362,125.532
st.nosteg.1,150.0,50,11,6.126,125.098
st.nosteg.1,150.0,50,12,7.362,124.78
st.nosteg.1,150.0,50,13,6.678,124.474
st.nosteg.1,150.0,50,14,6.06,122.158
st.nosteg.1,150.0,50,15,7.494,127.05
st.nosteg.1,150.0,50,16,5.928,124.196
st.nosteg.1,150.0,50,17,6.942,126.362
st.nosteg.1,150.0,50,18,6.678,123.858
st.nosteg.1,150.0,50,19,6.612,125.368
st.nosteg.1,150.0,50,20,7.23,124.676
st.nosteg.1,150.0,150,1,5.264,87.628
st.nosteg.1,150.0,150,2,12.828,228.474
st.nosteg.1,150.0,150,3,12.342,236.276
st.nosteg.1,150.0,150,4,12.564,233.582
st.nosteg.1,150.0,150,5,14.13,234.714
st.nosteg.1,150.0,150,6,12.144,241.044
st.nosteg.1,150.0,150,7,12.828,235.66
st.nosteg.1,150.0,150,8,12.894,235.628
st.nosteg.1,150.0,150,9,13.38,235.66
st.nosteg.1,150.0,150,10,12.21,235.72
st.nosteg.1,150.0,150,11,12.894,236.024
st.nosteg.1,150.0,150,12,12.762,235.72
st.nosteg.1,150.0,150,13,12.762,235.66
st.nosteg.1,150.0,150,14,12.894,235.66
st.nosteg.1,150.0,150,15,13.314,235.726
st.nosteg.1,150.0,150,16,12.276,237.174
st.nosteg.1,150.0,150,17,12.894,234.146
st.nosteg.1,150.0,150,18,13.38,235.66
st.nosteg.1,150.0,150,19,12.21,230.924
st.nosteg.1,150.0,150,20,12.828,229.686
st.nosteg.1,150.0,300,1,11.482,197.166
st.nosteg.1,150.0,300,2,20.666,387.496
st.nosteg.1,150.0,300,3,23.1,400.362
st.nosteg.1,150.0,300,4,21.888,396.148
st.nosteg.1,150.0,300,5,22.086,393.486
st.nosteg.1,150.0,300,6,21.124,396.102
st.nosteg.1,150.0,300,7,22.284,394.978
st.nosteg.1,150.0,300,8,22.982,397.408
st.nosteg.1,150.0,300,9,21.954,399.218
st.nosteg.1,150.0,300,10,22.086,394.368
st.nosteg.1,150.0,300,11,22.02,392.264
